umur,min3sd,min2sd,min1sd,nolsd,plus1sd,plus2sd,plus3sd,jenis_kelamin,standard
50,93.55649843,95.70584367,97.75219371,99.91993831,102.0485546,104.1736535,106.2969576,Perempuan,Lokal
51,94.14992638,96.21863533,98.23042272,100.3041758,102.3275509,104.362201,106.3964718,Perempuan,Lokal
52,94.72037896,96.73391344,98.75243902,100.6924775,102.6052076,104.5522344,106.503217,Perempuan,Lokal
53,95.26573665,97.22771183,99.22738944,101.0485254,102.8676748,104.733024,106.6077959,Perempuan,Lokal
54,95.78150213,97.67465739,99.59389992,101.3518395,103.1058044,104.8971543,106.7030742,Perempuan,Lokal
55,96.26367756,98.06357558,99.86350004,101.6028419,103.3149753,105.0398534,106.7835884,Perempuan,Lokal
56,96.71162793,98.40292285,100.091672,101.8117897,103.4923227,105.1569539,106.8440072,Perempuan,Lokal
57,97.12975957,98.71548728,100.3224581,101.9878313,103.6347599,105.2434842,106.8779303,Perempuan,Lokal
58,97.52736014,99.02725183,100.5689802,102.1378169,103.7398432,105.2942463,106.8780317,Perempuan,Lokal
59,97.91672762,99.35699716,100.8319745,102.2725946,103.8090019,105.3063227,106.8377568,Perempuan,Lokal
0,45.73990781,47.27183942,49.00131908,50.7244998,52.59596934,54.75517329,56.74799052,Laki-laki,Lokal
1,49.3669023,50.98049256,52.52644009,54.11879471,55.76992313,57.58772897,59.35811206,Laki-laki,Lokal
2,52.60487967,54.19967741,55.64527531,57.15543806,58.64892561,60.21121274,61.83021213,Laki-laki,Lokal
3,55.38662461,56.97661272,58.38992777,59.84806963,61.23785802,62.63963986,64.18139204,Laki-laki,Lokal
4,57.74229795,59.3511897,60.75256683,62.19344957,63.54872919,64.89616877,66.43092434,Laki-laki,Lokal
5,59.70212375,61.293509,62.71856101,64.20493565,65.61167606,67.01192399,68.59784183,Laki-laki,Lokal
6,61.08326515,62.75101793,64.36326833,65.94917389,67.48204591,69.02185834,70.69805589,Laki-laki,Lokal
7,62.40413037,64.12756599,65.83887701,67.5364736,69.23556246,70.95820398,72.74164103,Laki-laki,Lokal
8,63.81919233,65.5325962,67.24008326,69.07202625,70.94624442,72.84309175,74.73099374,Laki-laki,Lokal
9,64.73268958,66.64111164,68.57649828,70.61149268,72.65445044,74.68262119,76.66044303,Laki-laki,Lokal
10,65.1928978,67.5068525,69.84769395,72.14134409,74.34842625,76.46501424,78.51761072,Laki-laki,Lokal
11,65.78212533,68.42238628,71.05523178,73.60192092,75.97758005,78.16488135,80.28644388,Laki-laki,Lokal
